Nodes,id,Label,log,lat
Ageb 505,505,Ageb 505,-110.9806,29.1585
Ageb 506,506,Ageb 506,-110.9969,29.1784
Ageb 507,507,Ageb 507,-110.8838,29.17
Ageb 508,508,Ageb 508,-110.8893,29.1716
Ageb 509,509,Ageb 509,-110.8831,29.1908
Ageb 510,510,Ageb 510,-110.8852,29.1887
Ageb 511,511,Ageb 511,-110.8894,29.1666
Ageb 512,512,Ageb 512,-110.8875,29.1922
Ageb 513,513,Ageb 513,-110.8854,29.1924
Ageb 514,514,Ageb 514,-111.0034,29.0888
Ageb 515,515,Ageb 515,-110.983,29.167
Ageb 516,516,Ageb 516,-110.9554,29.1568
Ageb 517,517,Ageb 517,-111.0598,29.0823
Ageb 518,518,Ageb 518,-110.9849,29.1587
Ageb 519,519,Ageb 519,-110.9524,29.1429
